test_id,reference_number,test_cas,test_location,test_exposure_type,test_control_type,test_media_type,test_application_freq_unit,test_organism_lifestage,result_id,result_effect,result_endpoint,result_obs_duration_mean,result_conc1_type,result_conc1_mean_op,result_conc1_mean,result_conc1_mean_mol,media_ph_mean,media_temperature_mean,tax_all,tax_name,tax_class,tax_order,tax_family,tax_genus,tax_species,tax_gs,species_number,tax_group,tax_pdm_available,tax_eco_climate,tax_eco_ecozone,tax_eco_food,tax_eco_migrate5,tax_eco_migrate2,tax_ps_ampv,tax_ps_ampkap,tax_ps_amppm,tax_lh_amd,tax_lh_lbcm,tax_lh_lpcm,tax_lh_licm,tax_lh_ri#/d,result_conc1_mean_binary,result_conc1_mean_log,result_conc1_mean_mol_log
1001516,212,64-17-5,LAB,S,S,FW,X,NE,113300,MOR,LC50,48,F,,9248.0,0.200742363649973,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200,45,0.1,0.25,,,0,3.96604782107645,-0.697360966536239
1001534,212,108-90-7,LAB,S,S,FW,X,NE,113318,MOR,LC50,48,F,,31.0,0.000275408676904623,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200,45,0.1,0.25,,,0,1.49136169383427,-3.56002238117264
1001552,212,67-66-3,LAB,S,S,FW,X,NE,113336,MOR,LC50,48,F,,353.0,0.0029571918562271,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200,45,0.1,0.25,,,0,2.54777470538782,-2.5291204984709
1001571,212,106-48-9,LAB,S,S,FW,X,NE,113355,MOR,LC50,48,F,,6.0,4.66708160698694e-05,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200,45,0.1,0.25,,,0,0.778151250383643,-4.33095460512421
1001589,212,108-95-2,LAB,S,S,FW,X,NE,113496,MOR,LC50,48,F,,13.0,0.000138131821781531,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200,45,0.1,0.25,,,0,1.11394335230683,-3.85970626036326
1001611,212,67-64-1,LAB,S,S,FW,X,NE,113518,MOR,LC50,48,F,,9218.0,0.158712116208495,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200,45,0.1,0.25,,,0,3.9646367037885,-0.799389917595287
1001625,212,111-42-2,LAB,S,S,FW,X,NE,114480,MOR,LC50,48,F,,306.0,0.0029104881914082,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200,45,0.1,0.25,,,0,2.48572142648158,-2.53603415841883
1001698,225,52918-63-5,LAB,S,I,FW,X,NR,111399,MOR,LC50,48,F,,5e-05,9.89695305048328e-11,,,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200,45,0.1,0.25,,,1,-4.30102999566398,-10.0044984899516
1001709,225,52315-07-8,LAB,S,I,FW,X,NR,112738,MOR,LC50,48,F,,0.000359999999999999,8.64761015028019e-10,,,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200,45,0.1,0.25,,,1,-3.44369749923271,-9.06310389738481
1002265,323,1333-82-0,LAB,NR,I,FW,NR,NR,124573,MOR,LC50,48,T,,0.8,8.00056034197951e-06,7.7,,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200,45,0.1,0.25,,,1,-0.0969100130080563,-5.09687959489461
