SMILES,LC50,Structure
ClCl,0.12,<rdkit.Chem.rdchem.Mol object at 0x1784fb680>
CNC(=O)CS[P](=S)(OC)OC,1.65,<rdkit.Chem.rdchem.Mol object at 0x1784fb610>
CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C,0.001,<rdkit.Chem.rdchem.Mol object at 0x1784fb6f0>
ClC1=C(Cl)C2(Cl)C3CO[S](=O)OCC3C1(Cl)C2(Cl)Cl,0.328,<rdkit.Chem.rdchem.Mol object at 0x1784fb840>
CO[P](=S)(OC)SCN1C(=O)c2ccccc2C1=O,0.392,<rdkit.Chem.rdchem.Mol object at 0x1784fb8b0>
NCC=C,42.5,<rdkit.Chem.rdchem.Mol object at 0x1784fb920>
Oc1ccccc1C=O,4.1,<rdkit.Chem.rdchem.Mol object at 0x1784fb990>
OC(=O)COc1ccc(Cl)cc1Cl,120.0,<rdkit.Chem.rdchem.Mol object at 0x1784fba00>
O=[V](=O)O[V](=O)=O,1.49,<rdkit.Chem.rdchem.Mol object at 0x1784fba70>
O[Se](O)=O,1.2,<rdkit.Chem.rdchem.Mol object at 0x1784fbae0>
O=[Mo](=O)=O,206.75,<rdkit.Chem.rdchem.Mol object at 0x1784fbb50>
O=[Cr](=O)=O,0.48100000000000004,<rdkit.Chem.rdchem.Mol object at 0x1784fbc30>
c1ccc(cc1)c2ccccc2,1.9,<rdkit.Chem.rdchem.Mol object at 0x1784fbd10>
CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc2cccc(Oc3ccccc3)c2,0.00125,<rdkit.Chem.rdchem.Mol object at 0x1784fbdf0>
o1c2ccccc2c3ccccc13,1.7,<rdkit.Chem.rdchem.Mol object at 0x1784fbf40>
CCOC(=O)CC(S[P](=S)(OC)OC)C(=O)OCC,0.009,<rdkit.Chem.rdchem.Mol object at 0x1783ddb60>
ClC(Cl)=C,45.3,<rdkit.Chem.rdchem.Mol object at 0x1783dd850>
CO[P](=O)(OC)OC=C(Cl)Cl,0.005265,<rdkit.Chem.rdchem.Mol object at 0x1783ddcb0>
CCO[P](=S)(OCC)SCSc1ccc(Cl)cc1,0.125,<rdkit.Chem.rdchem.Mol object at 0x1783ddd90>
CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,0.0008749999999999999,<rdkit.Chem.rdchem.Mol object at 0x1783dde00>
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,0.05,<rdkit.Chem.rdchem.Mol object at 0x1783ddf50>
CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2,5e-05,<rdkit.Chem.rdchem.Mol object at 0x1783de030>
Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl,0.13,<rdkit.Chem.rdchem.Mol object at 0x1783de0a0>
CCO[P](=O)(OCC)OC(=C\Cl)/c1ccc(Cl)cc1Cl,9.285,<rdkit.Chem.rdchem.Mol object at 0x1783de110>
CCCCOC(=O)c1ccccc1C(=O)OCc2ccccc2,46.9,<rdkit.Chem.rdchem.Mol object at 0x1783de1f0>
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(=O)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,0.21000000000000002,<rdkit.Chem.rdchem.Mol object at 0x1783de260>
ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,0.11499999999999999,<rdkit.Chem.rdchem.Mol object at 0x1783de2d0>
s1c2ccccc2c3ccccc13,0.443,<rdkit.Chem.rdchem.Mol object at 0x1783de340>
s1ccc2ccccc12,59.0,<rdkit.Chem.rdchem.Mol object at 0x1783de3b0>
COC(=O)[C@@]1(Cl)CCC[C@@]2(C)[C@H]1CCc3cc(ccc23)C(C)C,3.15,<rdkit.Chem.rdchem.Mol object at 0x1783de420>
COC(=O)[C@@]1(Cl)C(Cl)CC[C@@]2(C)[C@H]1CCc3cc(ccc23)C(C)C,2.275,<rdkit.Chem.rdchem.Mol object at 0x1783de490>
