test_id,reference_number,test_cas,test_location,test_exposure_type,test_control_type,test_media_type,test_application_freq_unit,test_organism_lifestage,result_id,result_effect,result_endpoint,result_obs_duration_mean,result_conc1_type,result_conc1_mean_op,result_conc1_mean,result_conc1_mean_mol,media_ph_mean,media_temperature_mean,tax_all,tax_name,tax_class,tax_order,tax_family,tax_genus,tax_species,tax_gs,species_number,tax_group,tax_pdm_available,tax_eco_climate,tax_eco_ecozone,tax_eco_food,tax_eco_migrate5,tax_eco_migrate2,tax_ps_ampv,tax_ps_ampkap,tax_ps_amppm,tax_lh_amd,tax_lh_lbcm,tax_lh_lpcm,tax_lh_licm,tax_lh_ri#/d,result_conc1_mean_binary,result_conc1_mean_log,result_conc1_mean_mol_log
1001516,212,64-17-5,LAB,S,S,FW,X,NE,113300,MOR,LC50,48.0,F,,9248.0,0.200742363649974,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200.0,45.0,0.1,0.25,,,0,3.96604782107645,-0.69736096653624
1001534,212,108-90-7,LAB,S,S,FW,X,NE,113318,MOR,LC50,48.0,F,,31.0,0.0002754086769046,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200.0,45.0,0.1,0.25,,,0,1.49136169383427,-3.56002238117265
1001552,212,67-66-3,LAB,S,S,FW,X,NE,113336,MOR,LC50,48.0,F,,353.0,0.0029571918562271,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200.0,45.0,0.1,0.25,,,0,2.54777470538782,-2.5291204984709
1001571,212,106-48-9,LAB,S,S,FW,X,NE,113355,MOR,LC50,48.0,F,,6.0,4.66708160698695e-05,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200.0,45.0,0.1,0.25,,,0,0.778151250383644,-4.33095460512422
1001589,212,108-95-2,LAB,S,S,FW,X,NE,113496,MOR,LC50,48.0,F,,13.0,0.0001381318217815,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200.0,45.0,0.1,0.25,,,0,1.11394335230684,-3.85970626036327
1001611,212,67-64-1,LAB,S,S,FW,X,NE,113518,MOR,LC50,48.0,F,,9218.0,0.158712116208496,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200.0,45.0,0.1,0.25,,,0,3.9646367037885,-0.799389917595287
1001625,212,111-42-2,LAB,S,S,FW,X,NE,114480,MOR,LC50,48.0,F,,306.0,0.0029104881914082,8.2,25.0,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200.0,45.0,0.1,0.25,,,0,2.48572142648158,-2.53603415841884
1001698,225,52918-63-5,LAB,S,I,FW,X,NR,111399,MOR,LC50,48.0,F,,5e-05,9.89695305048328e-11,,,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200.0,45.0,0.1,0.25,,,1,-4.30102999566398,-10.0044984899517
1001709,225,52315-07-8,LAB,S,I,FW,X,NR,112738,MOR,LC50,48.0,F,,0.00036,8.647610150280201e-10,,,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200.0,45.0,0.1,0.25,,,1,-3.44369749923271,-9.06310389738481
1002265,323,1333-82-0,LAB,NR,I,FW,NR,NR,124573,MOR,LC50,48.0,T,,0.8,8.00056034197952e-06,7.7,,Branchiopoda Diplostraca Daphniidae Daphnia magna,Water Flea,Branchiopoda,Diplostraca,Daphniidae,Daphnia,magna,Daphnia_magna,5,crusta,True,C_D,TH_TP,P_D,no_migration,no_migration,0.1858,0.5809,1200.0,45.0,0.1,0.25,,,1,-0.0969100130080564,-5.09687959489462
