SMILES,LC50,Structure
ClCl,0.12,<rdkit.Chem.rdchem.Mol object at 0x31593aab0>
CNC(=O)CS[P](=S)(OC)OC,1.65,<rdkit.Chem.rdchem.Mol object at 0x31593bb50>
CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C,0.001,<rdkit.Chem.rdchem.Mol object at 0x31593a570>
ClC1=C(Cl)C2(Cl)C3CO[S](=O)OCC3C1(Cl)C2(Cl)Cl,0.328,<rdkit.Chem.rdchem.Mol object at 0x31593b840>
CO[P](=S)(OC)SCN1C(=O)c2ccccc2C1=O,0.392,<rdkit.Chem.rdchem.Mol object at 0x31593be60>
NCC=C,42.5,<rdkit.Chem.rdchem.Mol object at 0x31593b370>
Oc1ccccc1C=O,4.1,<rdkit.Chem.rdchem.Mol object at 0x31593adc0>
OC(=O)COc1ccc(Cl)cc1Cl,120.0,<rdkit.Chem.rdchem.Mol object at 0x31593a3b0>
O=[V](=O)O[V](=O)=O,1.49,<rdkit.Chem.rdchem.Mol object at 0x31593bae0>
O[Se](O)=O,1.2,<rdkit.Chem.rdchem.Mol object at 0x31593b300>
O=[Mo](=O)=O,206.75,<rdkit.Chem.rdchem.Mol object at 0x3159384a0>
O=[Cr](=O)=O,0.48100000000000004,<rdkit.Chem.rdchem.Mol object at 0x31593a1f0>
c1ccc(cc1)c2ccccc2,1.9,<rdkit.Chem.rdchem.Mol object at 0x315939b60>
CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc2cccc(Oc3ccccc3)c2,0.00125,<rdkit.Chem.rdchem.Mol object at 0x31593a500>
o1c2ccccc2c3ccccc13,1.7,<rdkit.Chem.rdchem.Mol object at 0x315938dd0>
CCOC(=O)CC(S[P](=S)(OC)OC)C(=O)OCC,0.009,<rdkit.Chem.rdchem.Mol object at 0x31593af80>
ClC(Cl)=C,45.3,<rdkit.Chem.rdchem.Mol object at 0x31593a880>
CO[P](=O)(OC)OC=C(Cl)Cl,0.005265,<rdkit.Chem.rdchem.Mol object at 0x31593a5e0>
