SMILES,EC50,2-Class,Structure
O=CC1CC=CCC1,130.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a0200>
Cl/C=C\CCl,4.5,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0350>
CC(C)Nc1ccc(Nc2ccccc2)cc1,0.98,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0270>
Nc1ccc(Oc2ccc(N)cc2)cc1,0.92,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0190>
CC1(C)[C@@H](/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1,0.00022,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0eb0>
O=C(CS)OCC(COC(=O)CS)(COC(=O)CS)COC(=O)CS,0.4605,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1230>
CC(=O)OCC(COC(C)=O)OC(C)=O,380.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a0120>
CC(C)[C@@H](Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.006,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a12a0>
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,0.0063,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1380>
O=C=Nc1ccc(N=C=O)cc1,4.46,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a15b0>
O=C/C=C/c1ccccc1,107.01,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a00b0>
CCc1ccc(CC)cc1,6.0,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a10e0>
NCl,0.016,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0d60>
O=C1C=CC(=O)C=C1,0.09472651,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0ac0>
C=C(C)C(=O)OCC1CO1,24.9,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a0430>
CCC#N,250.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a03c0>
O=CC=O,154.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a02e0>
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,9.1941,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a0b30>
COCC(C)OC(C)=O,408.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a13f0>
Cc1cc(C)cc(C)c1,6.0,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1310>
CC(C)CC(=O)CC(C)C,164.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a1150>
CNCCO,33.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a1cb0>
CCCCCCC(=O)O,72.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a14d0>
CCCCCCCCS,0.024,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a18c0>
C/C=C(\C)C(=O)O[C@H]1C[C@@H](OC(C)=O)[C@@]2(C(=O)OC)CO[C@H]3[C@@H](O)[C@@](C)([C@]45O[C@@]4(C)[C@H]4C[C@@H]5O[C@@H]5OC=C[C@@]54O)[C@@H]4[C@@](O)(C(=O)OC)OC[C@@]14[C@@H]32,0.625,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1930>
C=CCOC(=O)CC(C)=O,38.317,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a19a0>
CCCCCCCC(=O)N(C)C,7.7,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1a10>
N#CN=C1SCCN1Cc1ccc(Cl)nc1,88.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a1a80>
CCCCOCCOC(C)=O,143.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a1af0>
CCCCCCOCCO,305.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a1b60>
CCCCCCCCCCO,8.24,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1bd0>
CCCCCCCCCCCCCCCCN(C)C,0.11,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1c40>
CCCCCCCC/C=C/CCCCCCCC(=O)O,2.88114708,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1d20>
FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,7.2,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1d90>
CC1(C)[C@@H]2CC[C@]1(C)[C@@H](OC(=O)CSC#N)C2,0.09,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1e00>
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1.1400000000000001,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1e70>
Cc1ccc(N)cc1S(=O)(=O)O,481.637,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a1ee0>
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,0.000298,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1f50>
c1ccc2cc3ccccc3cc2c1,0.0154011135,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a1fc0>
O=C(OCc1ccccc1)c1ccccc1,7.77,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2030>
c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,82.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a20a0>
Cc1cc(C2CC2)nc(Nc2ccccc2)n1,0.0328,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2110>
CCCCC/C(C=O)=C/c1ccccc1,1.0230000000000001,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2180>
OCCOc1ccccc1,488.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a21f0>
CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0.6819999999999999,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2260>
COc1ccc(C=O)cc1,82.8,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a22d0>
O=C(CS)OCCOC(=O)CS,0.4605,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2340>
CC(C)(N)CO,193.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a23b0>
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,0.09,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2420>
O=[Cr]O[Cr]=O,18.63,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2490>
O=[Ge]=O,67.5,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2500>
O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,0.02,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2570>
Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1,0.27,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a25e0>
Fc1ccc([C@@]2(Cn3cncn3)O[C@H]2c2ccccc2Cl)cc1,5.3282,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2650>
OBr,0.061,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a26c0>
S=C(SN1CCOCC1)N1CCOCC1,1.6,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2730>
FC(C(F)C(F)(F)C(F)(F)F)C(F)(F)F,11.7,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a27a0>
NCCO,66.7,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2810>
CC(=O)C=C(C)C,89.1,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2880>
CC1CNCC(C)O1,187.35,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a28f0>
CO/N=C(\C(=O)OC)c1ccccc1CO/N=C(\C)c1cccc(C(F)(F)F)c1,0.0134,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2960>
C=C(C)C(=O)OCCCCCC,16.5,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a29d0>
C=CCOC(=O)OCCOCCOC(=O)OCC=C,18.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2a40>
CCCCCC(=O)O,72.0,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2ab0>
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,25.2,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2b20>
CCCCC(CC)C(=O)O,85.4,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2b90>
CC(=O)/C=C/C1=C(C)CCCC1(C)C,1.999,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2c00>
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,14.3,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2c70>
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,87.1,0,<rdkit.Chem.rdchem.Mol object at 0x30e5a2ce0>
CNC(=O)Oc1cccc2c1OC(C)(C)C2,0.059,1,<rdkit.Chem.rdchem.Mol object at 0x30e5a2d50>
